epoch,accuracy,loss,val_accuracy,val_loss
0,0.535,0.6961676096916198,0.628333330154419,0.6699911117553711
1,0.53333336,0.6975266766548157,0.628333330154419,0.6708599464098612
2,0.545,0.69162433385849,0.628333330154419,0.6700153923034669
3,0.5341667,0.6931733512878417,0.628333330154419,0.6719572830200196
4,0.53791666,0.6917368467648825,0.628333330154419,0.6724434916178386
5,0.55375,0.6868305603663126,0.628333330154419,0.6699197649955749
6,0.54833335,0.687899469534556,0.628333330154419,0.6709368538856506
7,0.5370833,0.690725429058075,0.628333330154419,0.673625857035319
8,0.555,0.6893651564915975,0.628333330154419,0.6724536363283793
9,0.555,0.687990955511729,0.628333330154419,0.6705906669298808
10,0.555,0.687878307501475,0.628333330154419,0.6709547646840414
11,0.555,0.6888213562965393,0.628333330154419,0.6703763548533122
12,0.555,0.6878347245852152,0.628333330154419,0.671277510325114
13,0.555,0.686947922706604,0.628333330154419,0.669461863040924
14,0.555,0.688496446609497,0.628333330154419,0.6736806003252666
15,0.555,0.6873295720418294,0.628333330154419,0.6715857402483623
16,0.555,0.6872759548823039,0.628333330154419,0.670826005935669
17,0.555,0.6873795278867085,0.628333330154419,0.6717825531959534
18,0.555,0.6875341415405274,0.628333330154419,0.6717389718691508
19,0.555,0.6878258919715882,0.628333330154419,0.6721528244018554
20,0.555,0.6873142250378926,0.628333330154419,0.6721895408630371
21,0.555,0.6873023454348246,0.628333330154419,0.6709063633282979
22,0.555,0.6873410105705261,0.628333330154419,0.6707533971468608
23,0.555,0.6872082956631979,0.628333330154419,0.6709953117370605
24,0.555,0.6868033679326375,0.628333330154419,0.6727463793754578
25,0.555,0.6870121502876282,0.628333330154419,0.6726018714904786
26,0.555,0.687681655883789,0.628333330154419,0.6722860995928447
27,0.555,0.6882145444552104,0.628333330154419,0.671765730381012
28,0.555,0.6875812141100566,0.628333330154419,0.6724137790997823
29,0.555,0.6876479768753052,0.628333330154419,0.671160352230072
30,0.555,0.687408050696055,0.628333330154419,0.6730849130948384
31,0.555,0.6874583927790324,0.628333330154419,0.672253832022349
32,0.555,0.6874066527684529,0.628333330154419,0.6731639742851258
33,0.555,0.6872828690210978,0.628333330154419,0.672401446501414
34,0.555,0.6875532126426697,0.628333330154419,0.6710040124257406
35,0.555,0.6874467182159424,0.628333330154419,0.6717012286186218
36,0.555,0.6873106495539347,0.628333330154419,0.67058806737264
37,0.555,0.6877797325452168,0.628333330154419,0.6713810165723165
38,0.555,0.6873126324017843,0.628333330154419,0.6725896128018697
39,0.555,0.6871691846847534,0.628333330154419,0.672283608118693
40,0.555,0.6874908487002055,0.628333330154419,0.6704159800211589
41,0.555,0.6870603386561076,0.628333330154419,0.6699625500043234
42,0.555,0.6872538844744365,0.628333330154419,0.6719417389233907
43,0.555,0.6871849632263184,0.628333330154419,0.6726307717959086
44,0.555,0.6875029579798381,0.628333330154419,0.6722154466311137
45,0.555,0.687282346089681,0.628333330154419,0.6732655119895935
46,0.555,0.6874982309341431,0.628333330154419,0.6712272715568542
47,0.555,0.6872347807884216,0.628333330154419,0.6706268858909606
48,0.555,0.6872740443547567,0.628333330154419,0.6716229248046875
49,0.555,0.6876903327306112,0.628333330154419,0.6723646632830302
50,0.555,0.6873925789197286,0.628333330154419,0.6723379961649577
51,0.555,0.6870841105779012,0.628333330154419,0.6699415802955627
52,0.555,0.6876058864593506,0.628333330154419,0.6701737920443217
53,0.555,0.6875898973147074,0.628333330154419,0.6718155415852864
54,0.555,0.6872805651028951,0.628333330154419,0.6711119977633159
55,0.555,0.6875592923164368,0.628333330154419,0.6715787784258525
56,0.555,0.6872587482134501,0.628333330154419,0.6724607721964518
57,0.555,0.687151939868927,0.628333330154419,0.672164421081543
58,0.555,0.6872221334775289,0.628333330154419,0.6704779346783956
59,0.555,0.687102522055308,0.628333330154419,0.6721365873018901
60,0.555,0.6878110726674398,0.628333330154419,0.6724105739593506
61,0.555,0.6871421798070272,0.628333330154419,0.6713644766807556
